水果名称中英文对照表
==================================================

总计: 306 个水果

acai_berry                     <- 巴西莓
acerola                        <- 针叶樱桃
alligator_apple                <- alligator apple
alligator_pear                 <- 鳄梨
ambarella                      <- ambarella
amla_fruit                     <- 余甘果
andean_raspberry               <- 南美山莓
apricot                        <- 杏
asian_pear                     <- 鸭梨
atemoya                        <- 释迦果
avocado                        <- 牛油果
baby_grape                     <- 迷你葡萄
bael_fruit                     <- 木橘
banana                         <- 香蕉
baobab_fruit                   <- 猴面包果
barberry                       <- 小檗果
bearberry                      <- 熊果
beauty_finger_grape            <- 美人指葡萄
beefsteak_tomato               <- 巨人番茄
bell_pepper                    <- 甜椒
bergamot_orange                <- 佛手柑
betel_nut                      <- 槟榔
bicolor_persimmon              <- 双色柿子
bilberry                       <- 越橘
bitter_gourd                   <- 苦瓜
black_date                     <- 黑枣
black_mulberry                 <- 黑桑葚
black_nightshade               <- 龙葵果
black_pear                     <- 黑香梨
black_plum                     <- 黑布林李
black_sapote                   <- 黑肉柿
black_tomato                   <- 黑番茄
blackberry                     <- 黑莓
blackcurrant                   <- 黑加仑
blueberry                      <- 蓝莓
brazil_nut                     <- 巴西坚果
breadfruit                     <- 面包果
buffaloberry                   <- 布福娜果
burmese_grape                  <- 缅甸葡萄
cacao_bean                     <- 可可豆
cactus_fruit                   <- 仙人掌果实
calamondin                     <- 金橘
camu_camu                      <- 卡姆果
canarium_ovatum                <- 南洋橄榄
canistel                       <- 蛋黄果
cantaloupe                     <- 哈密瓜
cape_gooseberry                <- 灯笼果
carambola                      <- 星果
ceylon_gooseberry              <- 锡兰醋栗
cherry                         <- 车厘子
cherry_tomato                  <- 小番茄
chico_sapodilla                <- 奇科果人心果
chinese_hawthorn               <- 海红果
chinese_quince                 <- 木瓜
chokeberry                     <- 野樱莓
citron                         <- 香橼
clementine                     <- 克莱门汀橘
cloudberry                     <- 云莓
cluster_fig                    <- 聚果榕
coffee_bean                    <- 咖啡豆
coffee_cherry                  <- 咖啡果
concord_grape                  <- 紫葡萄
cornelian_cherry               <- 山茱萸果
cottonfruit                    <- 三敛果
crab_apple                     <- 沙果
cranberry                      <- 蔓越莓
crisp_plum                     <- 脆李
crowberry                      <- 岩高兰果
cupuacu                        <- 古布阿苏果
custard_apple                  <- 奶油苹果
damson_plum                    <- 西洋李子
date                           <- 海枣
delicious_apple                <- 蛇果
desert_fig                     <- 沙漠无花果
desert_lime                    <- 沙漠青柠
dewberry                       <- 露莓
durian                         <- 榴莲
durian_montong                 <- 榴莲蜜
dwarf_persimmon                <- 矮脚柿
eggplant                       <- 茄子
elaeagnus                      <- 沙枣
elderberry                     <- 接骨木果
emblic_fruit                   <- 油甘果
emblica_officinalis            <- 余甘子
european_yew_berry             <- 欧洲红豆杉果
exotic_fruit                   <- 奇特果
feijoa                         <- 费约果
fig                            <- 无花果
flame_grape                    <- 火焰葡萄
flat_persimmon                 <- 磨盘柿
fragrant_lemon                 <- 香水柠檬
galia_melon                    <- 迦利亚甜瓜
gandaria                       <- 甘达利亚果
giant_granadilla               <- 大果西番莲
goji_berry                     <- 灌木枸杞
gold_coconut                   <- 金椰子
gold_kiwi                      <- 黄金奇异果
gold_pineapple                 <- 金菠萝
golden_kiwi                    <- 黄心猕猴桃
golden_pillow_durian           <- 金枕榴莲
golden_plum                    <- 黄金李
gooseberry                     <- 醋栗
grape                          <- 葡萄
grapefruit                     <- 葡萄柚
green_apple                    <- 青苹果
green_apricot                  <- 青杏
green_grapevine                <- 青提
green_jujube                   <- 青枣
green_kiwi                     <- 绿奇异果
green_kiwifruit                <- 绿心猕猴桃
green_lemon                    <- 青皮柠檬
green_mango                    <- 芒果青
green_orange                   <- 青橙
green_papaya                   <- 青木瓜
green_persimmon                <- 青柿
green_pomelo                   <- 青柚
green_tangerine                <- 青皮桔
greengage                      <- 青梅
ground_cherry                  <- 黄金莓
guava                          <- 番石榴浆果
hawthorn                       <- 海棠果
heirloom_tomato                <- 异形番茄
honey_plum                     <- 蜜李
honeydew                       <- 白香瓜
honeydew_melon                 <- 蜜瓜
honeysuckle_berry              <- 金银花果
horned_melon                   <- 刺角瓜
indian_fig                     <- 印度无花果
indian_jujube                  <- 印度枣
ita_palm_fruit                 <- 伊塔棕榈果
jaboticaba                     <- 嘉宝果
jackfruit_small                <- 小菠萝蜜
jade_dew_grape                 <- 玉露葡萄
jade_pear                      <- 翡翠梨
jalapeno_pepper                <- 墨西哥辣椒
jasmine_fruit                  <- 茉莉花果实
java_apple                     <- 蒲桃
jocote                         <- jocote
jostaberry                     <- jostaberry
jujube                         <- 枣树果
juniper_berry                  <- 针叶浆果
kaffir_lime                    <- 泰国柠檬
kakadu_plum                    <- 卡卡杜李
kiwano                         <- 火参果
kumquat                        <- 小金桔
kutjera                        <- kutjera
kyoho                          <- 巨峰葡萄
kyoho_grape                    <- 大青葡萄
langsat                        <- langsat
lemon                          <- 柠檬
lilly_pilly                    <- lilipilli
lime                           <- 酸橙柑橘
lingonberry                    <- 越桔
longan                         <- 龙眼
longkong                       <- 龙宫果
loofah_gourd                   <- 丝瓜
loquat                         <- 枇杷
lucuma                         <- lucuma
lulo                           <- lulo
malay_apple                    <- 玫瑰苹果
mamey_apple                    <- mamey_apple
mandarin                       <- 柑橘（橘子）
mango                          <- 芒果
mangosteen                     <- 山竹
manila_tamarind                <- 马尼拉罗望子
marang                         <- marang
medjool_date                   <- 大椰枣
medlar                         <- medlar
melon                          <- 甜瓜
miracle_fruit                  <- 神秘果
mock_strawberry                <- 蛇莓
monk_fruit                     <- 罗汉果
monstera_fruit                 <- 龟背竹果
mountain_apple                 <- 山地苹果
mountain_papaya                <- mountain_papaya
mountain_soursop               <- 山地刺果番荔枝
mulberry                       <- 果桑
mulberry_fruit                 <- 桑树果
muskmelon                      <- 香瓜
myrtle_berry                   <- 香桃木果
nance                          <- nance
nannyberry_fruit               <- nannyberry_fruit
naranjilla                     <- naranjilla
nectarine                      <- 油桃
neem_fruit                     <- 印楝果
nepalese_persimmon             <- 尼泊尔柿
noni_fruit                     <- 巴戟天果
nungu                          <- nungu
nutmeg                         <- 肉豆蔻
oil_palm_fruit                 <- 油棕榈果
olive                          <- 橄榄
orange_tomato                  <- 甜橙番茄
otaheite_apple                 <- otaheite_apple
pandanus_fruit                 <- 露兜果
papaya                         <- 番木瓜
passion_fruit                  <- 百香果
passionfruit                   <- 西番莲美洲种
pawpaw                         <- 泡泡果
pearl_grape                    <- 珍珠葡萄
pequi                          <- pequi
pigeon_plum                    <- 鸽子李
pili_nut                       <- 霹雳果
pineberry                      <- 菠萝莓
pink_grape                     <- 粉红葡萄
pink_waxberry                  <- 粉红杨梅
pitaya                         <- 仙人果
pitomba                        <- pitomba
plantain                       <- 芭蕉
pomegranate                    <- 石榴
pomelo                         <- 柚子
pomerac                        <- 马来苹果
prickly_pear                   <- 仙人掌果
pupunha                        <- pupunha
purple_apple_berry             <- purple_apple_berry
purple_date                    <- 紫椰枣
purple_fig                     <- 紫色无花果
purple_guava                   <- 紫番石榴
quandong                       <- quandong
quince                         <- 榅桲
rambutan                       <- 红毛丹
raspberry                      <- 树莓
red_apple                      <- 红苹果
red_banana                     <- 红香蕉
red_berry                      <- 红浆果
red_currant                    <- 红加仑
red_date                       <- 红海枣
red_grape_global               <- 红提
red_grape_vine                 <- 红葡萄
red_guava                      <- 红心番石榴
red_jujube                     <- 红枣
red_pomelo                     <- 红柚
rose_hip                       <- 玫瑰果
rose_leaf_bramble              <- rose-leaf_bramble
rose_myrtle_fruit              <- rose_myrtle_fruit
ruby_grape                     <- 红宝石葡萄
saguaro_fruit                  <- 巨人柱仙人掌果
salak                          <- 蛇皮果
salmonberry                    <- salmonberry
sand_pear                      <- 沙梨
santol                         <- santol
santol_fruit                   <- 思帝果
sapodilla                      <- 人心果
satsuma_mandarin               <- 沙糖桔
sea_buckthorn                  <- 普通鼠李
seabuckthorn                   <- 沙棘
seedless_grape                 <- 无籽葡萄
seedless_lemon                 <- 无籽柠檬
snow_pear                      <- 雪梨
snow_persimmon                 <- 雪柿子
snowberry                      <- snowberry
soncoya                        <- soncoya
soursop                        <- 刺果番荔枝
star_apple                     <- 星苹果
star_apple_milk                <- 牛奶果
strawberry                     <- 草莓
strawberry_guava               <- 草莓番石榴
sugar_apple                    <- 糖苹果
sugar_plum                     <- 糖李
surinam_cherry                 <- 苏里南樱桃
sweet_cherry                   <- 红樱桃
sweet_orange                   <- 甜橙
sweet_plum                     <- 甜李
sweet_pomegranate              <- 甜石榴
tamarillo                      <- 南美蕃茄
tamarind                       <- 罗望子
texas_persimmon                <- 得州柿子
thai_banana                    <- 泰国香蕉
thimbleberry                   <- thimbleberry
tiger_tomato                   <- 虎纹番茄
tree_tomato                    <- 树番茄
trifoliate_orange              <- 枳壳果
uganda_berry                   <- 乌干果
ugli_fruit                     <- 丑橘
vanilla_bean                   <- vanilla
velvet_tamarind                <- velvet_tamarind
wampee                         <- 黄皮
watermelon                     <- 西瓜
wax_apple                      <- 纤维蒲桃
waxberry                       <- 杨梅
white_currant                  <- 白加仑
white_grape                    <- 白葡萄
white_mulberry                 <- 白桑葚
white_pear                     <- 白玉梨
white_sapote                   <- 白柿
wild_apricot                   <- 山杏
wild_blueberry                 <- 野蓝莓
wild_currant                   <- 原生醋栗
wild_grape                     <- 山葡萄
wild_grapevine                 <- 野葡萄果
wild_hawthorn                  <- 野生山楂
wild_jujube                    <- 酸枣
wild_orange                    <- 野橙果
wild_raspberry                 <- 山莓
wild_tomato                    <- 野生番茄
wineberry                      <- wineberry
winter_melon                   <- 冬瓜
wood_apple                     <- 木苹果
yellow_grape                   <- 黄葡萄
yellow_guava                   <- 黄番石榴
yellow_jujube                  <- 黄酸枣
yellow_persimmon               <- 黄柿
yellow_pineapple               <- 黄菠萝
yellow_plum                    <- 黄李
yellow_sapote                  <- 黄晶果
yuzu                           <- 柚子日本柚
zucchini                       <- 西葫芦
mandarin                       <- 柑橘_橘子
muscadine_grape                <- 马斯克汀葡萄
purple_rosehip                 <- 紫玫瑰果
